iter	Passed	Remaining
969	38802	3961412
970	38842	3961457
971	38886	3961747
972	38932	3962319
973	38977	3962837
974	39022	3963248
975	39062	3963206
976	39098	3962773
977	39142	3963144
978	39180	3962955
979	39218	3962636
980	39256	3962417
981	39294	3962175
982	39333	3962044
983	39371	3961781
984	39408	3961430
985	39446	3961172
986	39484	3960955
987	39523	3960790
988	39560	3960489
989	39607	3961119
990	39648	3961243
991	39688	3961169
992	39731	3961422
993	39773	3961543
994	39813	3961588
995	39852	3961439
996	39894	3961525
997	39933	3961454
998	39972	3961230
999	40011	3961096
1000	40048	3960840
1001	40086	3960523
1002	40125	3960459
1003	40163	3960169
1004	40209	3960769
1005	40255	3961309
1006	40305	3962264
1007	40344	3962096
1008	40387	3962304
1009	40429	3962458
1010	40472	3962759
1011	40517	3963230
1012	40561	3963505
1013	40605	3963904
1014	40645	3963883
1015	40686	3963903
1016	40725	3963775
1017	40766	3963760
1018	40804	3963528
1019	40842	3963308
1020	40881	3963178
1021	40917	3962783
1022	40954	3962415
1023	40993	3962269
1024	41030	3961909
1025	41067	3961620
1026	41106	3961444
1027	41147	3961519
1028	41184	3961163
1029	41220	3960785
1030	41259	3960603
1031	41297	3960364
1032	41335	3960118
1033	41373	3959903
1034	41410	3959640
1035	41446	3959164
1036	41483	3958891
1037	41523	3958777
1038	41561	3958572
1039	41598	3958235
1040	41640	3958367
1041	41676	3957947
1042	41714	3957796
1043	41753	3957643
1044	41792	3957464
1045	41829	3957202
1046	41868	3957007
1047	41907	3956941
1048	41946	3956791
1049	41986	3956696
1050	42025	3956637
1051	42065	3956593
1052	42104	3956401
1053	42142	3956216
1054	42182	3956147
1055	42224	3956333
1056	42265	3956379
1057	42303	3956116
1058	42347	3956490
1059	42389	3956653
1060	42430	3956631
1061	42471	3956726
1062	42513	3956903
1063	42556	3957094
1064	42603	3957697
1065	42653	3958621
1066	42711	3960277
1067	42761	3961129
1068	42809	3961853
1069	42850	3961899
1070	42892	3962005
1071	42938	3962551
1072	42981	3962715
1073	43021	3962736
1074	43059	3962486
1075	43100	3962480
1076	43137	3962236
1077	43176	3962044
1078	43213	3961789
1079	43252	3961613
1080	43288	3961208
1081	43327	3961075
1082	43366	3960907
1083	43403	3960617
1084	43445	3960707
1085	43482	3960476
1086	43521	3960295
1087	43561	3960244
1088	43598	3959914
1089	43640	3960104
1090	43680	3960054
1091	43721	3960103
1092	43762	3960095
1093	43800	3959944
1094	43843	3960163
1095	43881	3959911
1096	43923	3960029
1097	43961	3959786
1098	43999	3959602
1099	44039	3959586
1100	44082	3959748
1101	44123	3959834
1102	44161	3959631
1103	44204	3959792
1104	44246	3959943
1105	44284	3959761
1106	44326	3959861
1107	44368	3960034
1108	44413	3960452
1109	44456	3960606
1110	44498	3960791
1111	44542	3961089
1112	44584	3961245
1113	44624	3961195
1114	44661	3960879
1115	44700	3960733
1116	44738	3960516
1117	44775	3960222
1118	44818	3960435
1119	44860	3960527
1120	44901	3960591
1121	44946	3960944
1122	44992	3961448
1123	45031	3961316
1124	45071	3961281
1125	45110	3961122
1126	45147	3960859
1127	45186	3960727
1128	45224	3960444
1129	45262	3960307
1130	45305	3960525
1131	45354	3961252
1132	45407	3962287
